Statistic Label,Year,Age Group,Sex,Road User Type,UNIT,VALUE
Killed Casualties,2005,All ages,Male,All road users,Number,286
Killed Casualties,2005,All ages,Male,Pedestrians,Number,51
Killed Casualties,2005,All ages,Male,Pedal cyclists,Number,7
Killed Casualties,2005,All ages,Male,Motor cyclists,Number,53
Killed Casualties,2005,All ages,Male,All Car users,Number,148
Killed Casualties,2005,All ages,Male,Car drivers,Number,104
Killed Casualties,2005,All ages,Male,Car passengers,Number,44
Killed Casualties,2005,All ages,Male,Other road users,Number,27
Killed Casualties,2005,All ages,Female,All road users,Number,102
Killed Casualties,2005,All ages,Female,Pedestrians,Number,21
Killed Casualties,2005,All ages,Female,Pedal cyclists,Number,2
Killed Casualties,2005,All ages,Female,Motor cyclists,Number,2
Killed Casualties,2005,All ages,Female,All Car users,Number,70
Killed Casualties,2005,All ages,Female,Car drivers,Number,38
Killed Casualties,2005,All ages,Female,Car passengers,Number,32
Killed Casualties,2005,All ages,Female,Other road users,Number,7
Killed Casualties,2005,0 - 5 years,Male,All road users,Number,3
Killed Casualties,2005,0 - 5 years,Male,Pedestrians,Number,3
Killed Casualties,2005,0 - 5 years,Male,Pedal cyclists,Number,0
Killed Casualties,2005,0 - 5 years,Male,Motor cyclists,Number,0
Killed Casualties,2005,0 - 5 years,Male,All Car users,Number,0
Killed Casualties,2005,0 - 5 years,Male,Car drivers,Number,0
Killed Casualties,2005,0 - 5 years,Male,Car passengers,Number,0
Killed Casualties,2005,0 - 5 years,Male,Other road users,Number,0
Killed Casualties,2005,0 - 5 years,Female,All road users,Number,0
Killed Casualties,2005,0 - 5 years,Female,Pedestrians,Number,0
Killed Casualties,2005,0 - 5 years,Female,Pedal cyclists,Number,0
Killed Casualties,2005,0 - 5 years,Female,Motor cyclists,Number,0
Killed Casualties,2005,0 - 5 years,Female,All Car users,Number,0
Killed Casualties,2005,0 - 5 years,Female,Car drivers,Number,0
Killed Casualties,2005,0 - 5 years,Female,Car passengers,Number,0
Killed Casualties,2005,0 - 5 years,Female,Other road users,Number,0
Killed Casualties,2005,6 - 9 years,Male,All road users,Number,1
Killed Casualties,2005,6 - 9 years,Male,Pedestrians,Number,1
Killed Casualties,2005,6 - 9 years,Male,Pedal cyclists,Number,0
Killed Casualties,2005,6 - 9 years,Male,Motor cyclists,Number,0
Killed Casualties,2005,6 - 9 years,Male,All Car users,Number,0
Killed Casualties,2005,6 - 9 years,Male,Car drivers,Number,0
Killed Casualties,2005,6 - 9 years,Male,Car passengers,Number,0
Killed Casualties,2005,6 - 9 years,Male,Other road users,Number,0
Killed Casualties,2005,6 - 9 years,Female,All road users,Number,0
Killed Casualties,2005,6 - 9 years,Female,Pedestrians,Number,0
Killed Casualties,2005,6 - 9 years,Female,Pedal cyclists,Number,0
Killed Casualties,2005,6 - 9 years,Female,Motor cyclists,Number,0
Killed Casualties,2005,6 - 9 years,Female,All Car users,Number,0
Killed Casualties,2005,6 - 9 years,Female,Car drivers,Number,0
Killed Casualties,2005,6 - 9 years,Female,Car passengers,Number,0
Killed Casualties,2005,6 - 9 years,Female,Other road users,Number,0
Killed Casualties,2005,10 - 14 years,Male,All road users,Number,4
Killed Casualties,2005,10 - 14 years,Male,Pedestrians,Number,3
Killed Casualties,2005,10 - 14 years,Male,Pedal cyclists,Number,0
Killed Casualties,2005,10 - 14 years,Male,Motor cyclists,Number,0
Killed Casualties,2005,10 - 14 years,Male,All Car users,Number,1
Killed Casualties,2005,10 - 14 years,Male,Car drivers,Number,0
Killed Casualties,2005,10 - 14 years,Male,Car passengers,Number,1
Killed Casualties,2005,10 - 14 years,Male,Other road users,Number,0
Killed Casualties,2005,10 - 14 years,Female,All road users,Number,1
Killed Casualties,2005,10 - 14 years,Female,Pedestrians,Number,1
Killed Casualties,2005,10 - 14 years,Female,Pedal cyclists,Number,0
Killed Casualties,2005,10 - 14 years,Female,Motor cyclists,Number,0
Killed Casualties,2005,10 - 14 years,Female,All Car users,Number,0
Killed Casualties,2005,10 - 14 years,Female,Car drivers,Number,0
Killed Casualties,2005,10 - 14 years,Female,Car passengers,Number,0
Killed Casualties,2005,10 - 14 years,Female,Other road users,Number,0
Killed Casualties,2005,15 - 17 years,Male,All road users,Number,15
Killed Casualties,2005,15 - 17 years,Male,Pedestrians,Number,4
Killed Casualties,2005,15 - 17 years,Male,Pedal cyclists,Number,0
Killed Casualties,2005,15 - 17 years,Male,Motor cyclists,Number,1
Killed Casualties,2005,15 - 17 years,Male,All Car users,Number,7
Killed Casualties,2005,15 - 17 years,Male,Car drivers,Number,4
Killed Casualties,2005,15 - 17 years,Male,Car passengers,Number,3
Killed Casualties,2005,15 - 17 years,Male,Other road users,Number,3
Killed Casualties,2005,15 - 17 years,Female,All road users,Number,11
Killed Casualties,2005,15 - 17 years,Female,Pedestrians,Number,5
Killed Casualties,2005,15 - 17 years,Female,Pedal cyclists,Number,0
Killed Casualties,2005,15 - 17 years,Female,Motor cyclists,Number,0
Killed Casualties,2005,15 - 17 years,Female,All Car users,Number,4
Killed Casualties,2005,15 - 17 years,Female,Car drivers,Number,0
Killed Casualties,2005,15 - 17 years,Female,Car passengers,Number,4
Killed Casualties,2005,15 - 17 years,Female,Other road users,Number,2
Killed Casualties,2005,18 - 20 years,Male,All road users,Number,46
Killed Casualties,2005,18 - 20 years,Male,Pedestrians,Number,5
Killed Casualties,2005,18 - 20 years,Male,Pedal cyclists,Number,0
Killed Casualties,2005,18 - 20 years,Male,Motor cyclists,Number,4
Killed Casualties,2005,18 - 20 years,Male,All Car users,Number,32
Killed Casualties,2005,18 - 20 years,Male,Car drivers,Number,20
Killed Casualties,2005,18 - 20 years,Male,Car passengers,Number,12
Killed Casualties,2005,18 - 20 years,Male,Other road users,Number,5
Killed Casualties,2005,18 - 20 years,Female,All road users,Number,9
Killed Casualties,2005,18 - 20 years,Female,Pedestrians,Number,0
Killed Casualties,2005,18 - 20 years,Female,Pedal cyclists,Number,0
Killed Casualties,2005,18 - 20 years,Female,Motor cyclists,Number,0
Killed Casualties,2005,18 - 20 years,Female,All Car users,Number,7
Killed Casualties,2005,18 - 20 years,Female,Car drivers,Number,4
Killed Casualties,2005,18 - 20 years,Female,Car passengers,Number,3
Killed Casualties,2005,18 - 20 years,Female,Other road users,Number,2
Killed Casualties,2005,21 - 24 years,Male,All road users,Number,43
Killed Casualties,2005,21 - 24 years,Male,Pedestrians,Number,5
Killed Casualties,2005,21 - 24 years,Male,Pedal cyclists,Number,0
Killed Casualties,2005,21 - 24 years,Male,Motor cyclists,Number,10
Killed Casualties,2005,21 - 24 years,Male,All Car users,Number,25
Killed Casualties,2005,21 - 24 years,Male,Car drivers,Number,13
Killed Casualties,2005,21 - 24 years,Male,Car passengers,Number,12
Killed Casualties,2005,21 - 24 years,Male,Other road users,Number,3
Killed Casualties,2005,21 - 24 years,Female,All road users,Number,11
Killed Casualties,2005,21 - 24 years,Female,Pedestrians,Number,0
Killed Casualties,2005,21 - 24 years,Female,Pedal cyclists,Number,0
Killed Casualties,2005,21 - 24 years,Female,Motor cyclists,Number,0
Killed Casualties,2005,21 - 24 years,Female,All Car users,Number,11
Killed Casualties,2005,21 - 24 years,Female,Car drivers,Number,6
Killed Casualties,2005,21 - 24 years,Female,Car passengers,Number,5
Killed Casualties,2005,21 - 24 years,Female,Other road users,Number,0
Killed Casualties,2005,25 - 34 years,Male,All road users,Number,58
Killed Casualties,2005,25 - 34 years,Male,Pedestrians,Number,4
Killed Casualties,2005,25 - 34 years,Male,Pedal cyclists,Number,3
Killed Casualties,2005,25 - 34 years,Male,Motor cyclists,Number,18
Killed Casualties,2005,25 - 34 years,Male,All Car users,Number,27
Killed Casualties,2005,25 - 34 years,Male,Car drivers,Number,19
Killed Casualties,2005,25 - 34 years,Male,Car passengers,Number,8
Killed Casualties,2005,25 - 34 years,Male,Other road users,Number,6
Killed Casualties,2005,25 - 34 years,Female,All road users,Number,19
Killed Casualties,2005,25 - 34 years,Female,Pedestrians,Number,2
Killed Casualties,2005,25 - 34 years,Female,Pedal cyclists,Number,0
Killed Casualties,2005,25 - 34 years,Female,Motor cyclists,Number,1
Killed Casualties,2005,25 - 34 years,Female,All Car users,Number,14
Killed Casualties,2005,25 - 34 years,Female,Car drivers,Number,10
Killed Casualties,2005,25 - 34 years,Female,Car passengers,Number,4
Killed Casualties,2005,25 - 34 years,Female,Other road users,Number,2
Killed Casualties,2005,35 - 44 years,Male,All road users,Number,38
Killed Casualties,2005,35 - 44 years,Male,Pedestrians,Number,2
Killed Casualties,2005,35 - 44 years,Male,Pedal cyclists,Number,1
Killed Casualties,2005,35 - 44 years,Male,Motor cyclists,Number,12
Killed Casualties,2005,35 - 44 years,Male,All Car users,Number,19
Killed Casualties,2005,35 - 44 years,Male,Car drivers,Number,16
Killed Casualties,2005,35 - 44 years,Male,Car passengers,Number,3
Killed Casualties,2005,35 - 44 years,Male,Other road users,Number,4
Killed Casualties,2005,35 - 44 years,Female,All road users,Number,7
Killed Casualties,2005,35 - 44 years,Female,Pedestrians,Number,1
